TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,R_death_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,ICU Beds_x,Total Population,Population Aged 60+,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code
167207,20196,12.07844169,19358,11.5772665,18063,10.8027774,23023,13.76916038,21241,12.70341553,23025,13.7703565,22483,13.4462074,13072,7.817854516,6746,4.034520086,58362,34.9040411,1272,0.760733701,936,0.559785177,48701,29.12617295,17955,10.7381868,39981,23.91108028,8.1,8.0,31.8,33.6,26.6,8.6,10.5,9.1,78503,74643,82363,2.4,78503,97.5,20,164094,37939,34.2,33.1,35.3,22.8,22.2,23.5,6.4,6.0,6.8,5.4,4.9,5.9,10.4,9.9,10.9,3.0,2.9,3.1,4
469966,57699,12.27727112,66412,14.13123503,61819,13.15393028,68530,14.58190593,62584,13.31670802,57814,12.30174098,51065,10.86567964,29795,6.339820327,14248,3.031708677,431733,91.86473064,6299,1.340309725,3762,0.800483439,13198,2.808288259,1084,0.230654984,13890,2.955532953,6.5,4.9,23.0,34.4,37.8,9.7,10.2,8.9,66827,64180,69474,2.5,66827,120.4,105,435117,80856,33.0,31.1,35.0,25.0,23.6,26.3,5.7,5.2,6.4,5.5,4.6,6.4,8.6,7.8,9.4,2.6,2.4,2.8,3
4250,396,9.317647059,421,9.905882353,315,7.411764706,362,8.517647059,411,9.670588235,603,14.18823529,977,22.98823529,542,12.75294118,223,5.247058824,4016,94.49411765,15,0.352941177,64,1.505882353,35,0.823529412,17,0.4,103,2.423529412,6.7,10.4,37.7,32.9,19.1,13.2,24.1,22.3,45311,40777,49845,5.5,45311,81.6,0,3946,1513,48.1,45.4,50.7,33.1,31.0,35.1,10.7,9.6,12.0,9.9,8.3,11.7,15.4,14.1,16.8,4.1,3.8,4.5,6
87138,12450,14.28768161,13165,15.10821915,12996,14.91427391,12203,14.00422319,9626,11.04684523,9204,10.56255595,9434,10.82650508,5374,6.167228993,2686,3.082466892,78998,90.65849572,972,1.11547201,3238,3.715944823,1482,1.700750534,260,0.298377287,2188,2.510959627,7.8,8.1,26.5,38.2,27.2,13.8,15.5,14.4,51300,47844,54756,2.7,51300,92.4,20,84113,15750,37.5,35.6,39.5,30.1,28.6,31.6,6.6,6.0,7.2,6.7,5.7,7.7,10.5,9.7,11.3,2.9,2.7,3.1,4
6050,877,14.49586777,886,14.6446281,580,9.58677686,682,11.27272727,639,10.56198347,707,11.68595041,825,13.63636364,549,9.074380165,305,5.041322314,5862,96.89256198,24,0.396694215,56,0.925619835,33,0.545454546,5,0.082644628,70,1.157024793,10.8,6.2,38.8,34.7,20.3,10.7,14.4,13.6,53780,48194,59366,2.9,53780,96.9,0,5942,1565,41.5,39.3,43.7,31.8,30.0,33.6,8.3,7.5,9.2,7.9,6.8,9.2,12.1,11.1,13.2,3.4,3.2,3.7,6
9226,1127,12.215478,1126,12.20463906,874,9.473227834,904,9.798395838,967,10.48124865,1324,14.35074789,1529,16.57272924,992,10.75222198,383,4.151311511,7994,86.64643399,42,0.455235205,783,8.486884891,34,0.368523737,9,0.097550401,364,3.945371775,11.9,11.7,38.9,34.2,15.1,14.7,22.8,20.6,48451,44884,52018,4.6,48451,87.3,0,9050,2780,46.4,44.2,48.4,33.0,31.2,34.7,9.9,9.0,10.9,9.8,8.5,11.3,14.4,13.3,15.5,3.9,3.6,4.2,6
46236,7446,16.10433428,8017,17.33930271,5423,11.72895579,5795,12.53352366,5163,11.16662341,5074,10.97413271,4960,10.72757159,2836,6.133748594,1522,3.29180725,41092,88.87447011,276,0.596937451,3415,7.386019552,508,1.098710961,78,0.168699715,867,1.875162211,7.8,12.5,30.0,36.8,20.7,12.0,15.9,14.3,50941,45985,55897,2.7,50941,91.7,5,45369,8667,44.6,42.7,46.3,34.4,32.9,35.8,7.2,6.6,7.9,7.1,6.2,8.1,11.9,11.1,12.7,3.1,3.0,3.3,5
22601,2389,10.57032875,3089,13.66753683,2185,9.667713818,2608,11.53931242,2907,12.86226273,3317,14.67634175,3281,14.51705677,2081,9.207557188,744,3.291889739,21388,94.63298084,145,0.641564533,394,1.743285695,270,1.194637405,40,0.176983319,364,1.610548206,4.8,11.6,22.1,28.1,38.2,7.0,8.1,7.0,76113,67998,84228,2.4,76113,137.1,0,21583,5080,35.1,32.7,37.3,26.8,25.2,28.4,7.4,6.5,8.3,6.8,5.6,8.3,11.3,10.2,12.5,3.2,3.0,3.5,5
7634,593,7.767880534,833,10.91171077,558,7.309405292,667,8.73722819,862,11.29159025,1320,17.29106628,1633,21.39114488,894,11.71076762,274,3.589206183,7220,94.57689285,39,0.510872413,95,1.244432801,58,0.759758973,27,0.353680901,195,2.554362064,7.3,6.3,27.4,39.2,27.2,12.8,19.4,16.6,56837,50585,63089,4.2,56837,102.4,0,6968,2461,43.1,40.5,45.6,31.4,29.4,33.3,8.8,7.9,9.8,7.9,6.7,9.4,13.1,11.8,14.3,3.5,3.2,3.8,3
44727,4605,10.29579449,5020,11.22364567,3950,8.831354663,4672,10.44559215,5008,11.19681624,6351,14.19947683,8155,18.23283475,4950,11.06714065,2016,4.507344557,42724,95.52172066,139,0.310774253,417,0.932322758,331,0.740045163,66,0.147561875,1050,2.34757529,10.0,9.2,30.5,37.3,23.1,14.1,17.7,16.2,51373,47560,55186,4.1,51373,92.5,4,41855,13317,38.7,36.4,41.0,29.9,28.1,31.6,9.0,8.1,10.0,8.5,7.2,10.0,12.8,11.7,14.0,3.6,3.3,3.9,5
116854,19970,17.08970168,18817,16.10300033,15044,12.87418488,16306,13.95416503,12866,11.01032057,12328,10.54991699,11255,9.631677136,6724,5.754188988,3544,3.032844404,110351,94.4349359,855,0.73168227,1518,1.299056943,1373,1.174970476,160,0.136922998,2597,2.22243141,7.3,8.3,26.1,35.5,30.1,10.6,13.2,11.9,60444,56049,64839,2.4,60444,108.9,35,110404,20000,40.1,37.9,42.0,30.9,29.5,32.4,6.2,5.5,6.8,6.1,5.2,7.1,10.3,9.5,11.2,2.7,2.6,2.9,4
11948,1455,12.17777034,1586,13.27418815,1082,9.055908939,1230,10.29460998,1353,11.32407097,1603,13.41647138,1921,16.07800469,1189,9.951456311,529,4.42751925,11287,94.46769334,69,0.577502511,233,1.950117174,94,0.786742551,14,0.117174423,251,2.100770003,10.3,8.0,41.1,31.9,19.0,13.5,22.3,21.9,47118,42980,51256,4.4,47118,84.9,0,11323,3394,40.7,38.4,43.1,31.2,29.4,32.9,8.9,8.0,9.8,8.6,7.3,10.0,13.0,11.9,14.1,3.6,3.3,3.8,6
2611,321,12.29414018,359,13.74952126,244,9.345078514,253,9.689774033,266,10.18766756,324,12.40903868,421,16.12409039,280,10.72386059,143,5.476828801,2489,95.32746074,13,0.497893527,34,1.302183072,9,0.344695519,5,0.191497511,61,2.336269628,7.7,5.0,36.9,40.0,18.2,15.1,18.2,15.9,50050,46740,53360,3.2,50050,90.1,0,2613,807,38.4,36.2,40.5,28.7,26.9,30.3,9.1,8.2,10.0,8.3,7.1,9.6,12.9,11.9,14.0,3.6,3.4,3.9,4
1127,132,11.71251109,150,13.30967169,72,6.388642413,125,11.09139308,145,12.86601597,149,13.22094055,192,17.03637977,119,10.55900621,43,3.815439219,1059,93.96628217,6,0.532386868,16,1.419698314,5,0.443655723,0,0.0,41,3.63797693,7.2,6.4,38.0,36.1,19.5,9.7,15.2,12.4,53866,48091,59641,2.3,53866,97.0,0,886,267,48.4,45.7,51.0,35.8,33.7,37.9,10.1,9.0,11.2,9.7,8.2,11.3,14.8,13.5,16.1,4.0,3.7,4.3,5
223499,34250,15.32445335,35785,16.01125732,30225,13.52355044,29205,13.06717256,27160,12.15217965,24607,11.00989266,21896,9.796911843,14170,6.34007311,6201,2.774509058,208456,93.26932112,1851,0.828191625,3901,1.74542168,2398,1.072935449,755,0.337809118,6138,2.746321013,6.8,15.4,32.0,34.3,18.3,11.5,15.2,13.6,53381,50595,56167,3.1,53381,96.1,41,207027,36810,43.1,41.4,44.9,33.4,32.0,34.6,7.1,6.5,7.8,7.4,6.4,8.5,11.8,11.0,12.7,3.1,2.9,3.3,3
